open,high,low,close,volume,datetime
1750.0,2000.0,1390.0,1400.0,20063000,2023-03-27 00:00:00
1370.0,1497.0,1328.0,1470.0,28404400,2023-03-28 00:00:00
1470.0,1540.0,1450.0,1468.0,16315200,2023-03-29 00:00:00
1465.0,1486.0,1303.0,1326.0,9858700,2023-03-30 00:00:00
1337.0,1354.0,1300.0,1349.0,4935600,2023-03-31 00:00:00
1355.0,1426.0,1336.0,1422.0,5421200,2023-04-03 00:00:00
1405.0,1417.0,1355.0,1364.0,2690600,2023-04-04 00:00:00
1330.0,1414.0,1327.0,1395.0,2998400,2023-04-05 00:00:00
1382.0,1410.0,1330.0,1341.0,2761800,2023-04-06 00:00:00
1360.0,1364.0,1320.0,1341.0,1676700,2023-04-07 00:00:00
1350.0,1363.0,1326.0,1334.0,1466900,2023-04-10 00:00:00
1346.0,1408.0,1338.0,1346.0,3315400,2023-04-11 00:00:00
1363.0,1418.0,1347.0,1417.0,2762800,2023-04-12 00:00:00
1419.0,1429.0,1360.0,1370.0,3079600,2023-04-13 00:00:00
1394.0,1424.0,1382.0,1400.0,2491800,2023-04-14 00:00:00
1421.0,1540.0,1417.0,1500.0,9657000,2023-04-17 00:00:00
1540.0,1695.0,1500.0,1599.0,16470900,2023-04-18 00:00:00
1603.0,1674.0,1565.0,1597.0,7666900,2023-04-19 00:00:00
1594.0,1595.0,1526.0,1540.0,3418700,2023-04-20 00:00:00
1553.0,1579.0,1461.0,1467.0,4185400,2023-04-21 00:00:00
1488.0,1504.0,1434.0,1450.0,2255600,2023-04-24 00:00:00
1460.0,1495.0,1446.0,1477.0,1525500,2023-04-25 00:00:00
1499.0,1515.0,1435.0,1470.0,2264200,2023-04-26 00:00:00
1468.0,1471.0,1441.0,1445.0,1110200,2023-04-27 00:00:00
1745.0,1745.0,1561.0,1584.0,21544700,2023-04-28 00:00:00
1640.0,1662.0,1573.0,1608.0,6621000,2023-05-01 00:00:00
1604.0,1665.0,1585.0,1656.0,6440600,2023-05-02 00:00:00
1660.0,1735.0,1635.0,1708.0,9095000,2023-05-08 00:00:00
1725.0,1766.0,1661.0,1673.0,8569800,2023-05-09 00:00:00
1676.0,1745.0,1665.0,1728.0,4653700,2023-05-10 00:00:00
1725.0,1865.0,1718.0,1830.0,7639300,2023-05-11 00:00:00
1800.0,1800.0,1675.0,1699.0,8011500,2023-05-12 00:00:00
1699.0,1730.0,1606.0,1727.0,9318900,2023-05-15 00:00:00
1726.0,1816.0,1713.0,1794.0,6200000,2023-05-16 00:00:00
1810.0,1964.0,1809.0,1958.0,14140700,2023-05-17 00:00:00
1990.0,2040.0,1893.0,1923.0,9795300,2023-05-18 00:00:00
1948.0,2092.0,1882.0,2085.0,14432500,2023-05-19 00:00:00
2127.0,2145.0,2018.0,2044.0,11398700,2023-05-22 00:00:00
2074.0,2125.0,1910.0,1931.0,11581300,2023-05-23 00:00:00
1880.0,1977.0,1854.0,1947.0,6987600,2023-05-24 00:00:00
1947.0,1998.0,1910.0,1987.0,5040100,2023-05-25 00:00:00
2010.0,2015.0,1891.0,1910.0,5473700,2023-05-26 00:00:00
1925.0,1963.0,1893.0,1949.0,3344000,2023-05-29 00:00:00
1938.0,2028.0,1913.0,1941.0,6890200,2023-05-30 00:00:00
1933.0,1995.0,1926.0,1995.0,5513400,2023-05-31 00:00:00
1990.0,2012.0,1952.0,1955.0,3676900,2023-06-01 00:00:00
2010.0,2179.0,1993.0,2130.0,15476500,2023-06-02 00:00:00
2175.0,2242.0,2150.0,2200.0,8916700,2023-06-05 00:00:00
2194.0,2386.0,2184.0,2355.0,10172600,2023-06-06 00:00:00
2415.0,2424.0,2221.0,2310.0,10532200,2023-06-07 00:00:00
2319.0,2384.0,2247.0,2308.0,7325600,2023-06-08 00:00:00
2335.0,2414.0,2282.0,2396.0,7521100,2023-06-09 00:00:00
2446.0,2457.0,2367.0,2375.0,7083100,2023-06-12 00:00:00
2394.0,2403.0,2316.0,2353.0,4162800,2023-06-13 00:00:00
2330.0,2425.0,2275.0,2282.0,6383700,2023-06-14 00:00:00
2306.0,2640.0,2296.0,2576.0,22603100,2023-06-15 00:00:00
2626.0,2833.0,2572.0,2786.0,24912500,2023-06-16 05:57:15